index,字頻統計,字頻百分比
園,14889,0.06
空,14767,0.06
核,14662,0.06
協,14644,0.06
老,14598,0.06
備,14542,0.06
差,14534,0.06
質,14460,0.06
隨,14389,0.06
益,14357,0.06
若,14321,0.06
屬,14320,0.06
緩,14209,0.06
類,14090,0.06
優,14058,0.06
先,14047,0.06
編,14033,0.06
亦,14001,0.06
決,13948,0.06
即,13940,0.06
匯,13911,0.06
號,13771,0.06
布,13763,0.06
青,13726,0.06
寬,13664,0.06
免,13552,0.06
登,13530,0.06
抵,13514,0.06
形,13475,0.06
控,13354,0.06
授,13302,0.06
趨,13271,0.06
占,13254,0.06
確,13210,0.06
讓,13148,0.06
水,13147,0.06
樓,13042,0.06
銷,13013,0.06
容,12993,0.06
給,12947,0.06
兩,12883,0.06
景,12815,0.05
超,12779,0.05
參,12769,0.05
換,12764,0.05
券,12748,0.05
印,12611,0.05
竹,12595,0.05
陸,12589,0.05
訂,12548,0.05
院,12518,0.05
究,12423,0.05
些,12406,0.05
步,12396,0.05
服,12396,0.05
宜,12373,0.05
接,12343,0.05
課,12337,0.05
須,12328,0.05
劃,12307,0.05
論,12298,0.05
移,12290,0.05
門,12280,0.05
著,12276,0.05
半,12250,0.05
只,12187,0.05
照,12174,0.05
直,12166,0.05
常,11969,0.05
雄,11943,0.05
系,11924,0.05
路,11923,0.05
好,11877,0.05
畫,11831,0.05
局,11829,0.05
模,11827,0.05
健,11807,0.05
華,11729,0.05
括,11719,0.05
附,11693,0.05
錄,11672,0.05
天,11667,0.05
維,11632,0.05
做,11628,0.05
引,11622,0.05
首,11591,0.05
樣,11587,0.05
創,11519,0.05
押,11495,0.05
車,11477,0.05
組,11398,0.05
針,11374,0.05
素,11320,0.05
貼,11290,0.05
級,11245,0.05
跌,11090,0.05
委,11016,0.05
付,11013,0.05
檢,10965,0.05
疫,10953,0.05
列,10939,0.05
環,10917,0.05
客,10826,0.05
監,10717,0.05
失,10708,0.05
含,10697,0.05
擇,10647,0.05
段,10553,0.05
速,10546,0.05
否,10531,0.05
筆,10509,0.05
縮,10505,0.05
短,10490,0.04
沒,10473,0.04
善,10400,0.04
桃,10398,0.04
足,10364,0.04
另,10318,0.04
種,10301,0.04
壓,10272,0.04
帶,10263,0.04
何,10220,0.04
落,10179,0.04
執,10173,0.04
坪,10151,0.04
見,10144,0.04
庭,10140,0.04
訊,10084,0.04
活,10079,0.04
名,10016,0.04
排,9961,0.04
炒,9937,0.04
必,9906,0.04
促,9836,0.04
蘭,9785,0.04
象,9767,0.04
根,9733,0.04
難,9686,0.04
張,9644,0.04
頁,9617,0.04
許,9511,0.04
波,9503,0.04
香,9432,0.04
衝,9430,0.04
任,9353,0.04
道,9337,0.04
極,9246,0.04
託,9245,0.04
花,9201,0.04
望,9190,0.04
嚴,9180,0.04
慎,9082,0.04
網,9054,0.04
避,9051,0.04
科,9009,0.04
走,8945,0.04
歐,8939,0.04
城,8871,0.04
按,8750,0.04
打,8646,0.04
被,8641,0.04
七,8616,0.04
才,8605,0.04
契,8488,0.04
討,8400,0.04
延,8345,0.04
納,8328,0.04
惠,8270,0.04
連,8194,0.04
擊,8042,0.03
責,8038,0.03
很,8025,0.03
態,8015,0.03
手,8003,0.03
稱,7982,0.03
言,7968,0.03
倍,7876,0.03
革,7875,0.03
止,7804,0.03
溫,7768,0.03
略,7690,0.03
圍,7627,0.03
漁,7619,0.03
界,7596,0.03
輕,7569,0.03
技,7538,0.03
族,7526,0.03
視,7496,0.03
層,7496,0.03
違,7472,0.03
退,7471,0.03
雖,7471,0.03
票,7443,0.03
富,7415,0.03
彰,7406,0.03
清,7400,0.03
千,7365,0.03
山,7365,0.03
防,7347,0.03
八,7283,0.03
逐,7277,0.03
鬆,7236,0.03
獲,7233,0.03
測,7214,0.03
始,7212,0.03
符,7184,0.03
廠,7156,0.03
缺,7149,0.03
囤,7136,0.03
注,7077,0.03
爭,7030,0.03
鎮,7029,0.03
述,7027,0.03
棟,7022,0.03
嘉,6994,0.03
壽,6994,0.03
儲,6963,0.03
庫,6923,0.03
西,6914,0.03
狀,6842,0.03
繳,6827,0.03
歸,6811,0.03
恐,6786,0.03
英,6782,0.03
勵,6742,0.03
抑,6709,0.03
漸,6688,0.03
撥,6658,0.03
韓,6614,0.03
雙,6578,0.03
書,6562,0.03
賃,6506,0.03
遠,6505,0.03
緊,6493,0.03
異,6491,0.03
頭,6461,0.03
字,6418,0.03
呈,6356,0.03
私,6355,0.03
膨,6323,0.03
廣,6311,0.03
困,6284,0.03
屏,6281,0.03
陳,6279,0.03
復,6272,0.03
弱,6268,0.03
周,6177,0.03
尚,6164,0.03
傳,6153,0.03
域,6046,0.03
越,6029,0.03
償,6016,0.03
留,5972,0.03
舊,5946,0.03
臨,5942,0.03
般,5934,0.03
知,5924,0.03
熱,5922,0.03
待,5880,0.03
世,5873,0.03
身,5839,0.03
